ID,卡名,类型,费用(LV1/LV2),LV1效果,LV2效果,特殊属性,使用后是否移除(LV1),使用后是否移除(LV2),图鉴归属
SC0017,枕戈待旦,技能,2/2,回复8点HP；本回合下一次攻击额外+5伤,回复12点HP；本回合下一次攻击额外+5伤,—,否,否,初始通用
SC0018,毒计,技能,1/1,对目标施加2层中毒,对目标施加3层中毒,—,否,否,初始通用
SC0019,火攻,技能,1/1,对目标施加2层灼烧,对目标施加3层灼烧,—,否,否,初始通用
SC0020,破甲令,技能,1/1,对目标施加2层破甲,对目标施加3层破甲,—,否,否,初始通用
SC0021,虚弱令,技能,1/1,对目标施加2层虚弱,对目标施加3层虚弱,—,否,否,初始通用
SC0022,寒冬,技能,1/1,对目标施加1层滑倒并抽1张牌,对目标施加2层滑倒并抽1张牌,—,否,否,初始通用
SC0023,滚石擂木,技能,2/2,对所有敌将造成5点伤害；若当前地形为山地或关隘，伤害+3,对所有敌将造成6点伤害；若当前地形为山地或关隘，伤害+4,—,否,否,初始通用
SC0024,眩晕令,技能,1/1,对目标施加1层眩晕,对目标施加1层眩晕,—,是,否,初始通用
SC0025,撕裂伤口,技能,1/1,对目标施加3层重伤,对目标施加4层重伤,—,否,否,初始通用
SC0026,恐吓,技能,1/1,对目标施加2层恐惧,对目标施加3层恐惧,—,否,否,初始通用
SC0027,洗净,技能,1/0,清除目标当前负面状态,清除目标当前负面状态,—,否,否,初始通用
SC0028,拒马列阵,技能,1/1,获得6点护盾；免疫一次骑兵攻击,获得8点护盾；免疫一次骑兵攻击,—,否,否,初始通用
SC0029,守势反击,技能,1/1,获得5点护盾；本回合若被攻击，对攻击者反伤4点,获得7点护盾；本回合若被攻击，对攻击者反伤4点,—,否,否,初始通用
SC0030,锋芒暗藏,技能,1/1,本回合下一张近战攻击卡必定暴击,本回合下一张近战攻击卡必定暴击；若击杀目标抽1张牌,—,是,是,初始通用
SC0031,引箭入阵,技能,1/1,本回合下一张远程攻击卡必定命中且伤害+2,本回合下一张远程攻击卡必定命中且伤害+4,—,是,是,初始通用
SC0032,乘胜追击,技能,1/1,若本回合已击杀过目标，本卡打出后抽2张牌,若本回合已击杀过目标，本卡打出后抽3张牌,—,否,否,初始通用
SC0033,借势,技能,0/0,获得5点护盾；若本回合已使用技能卡，抽1张牌,获得7点护盾；若本回合已使用技能卡，抽1张牌,—,否,否,初始通用
SC0034,以毒攻毒,技能,1/1,丢弃手中1张诅咒卡，对目标施加1层随机负面状态,丢弃手中1张诅咒卡，对目标施加2层随机负面状态,—,否,否,初始通用
SC0035,枯木逢春,技能,1/1,丢弃手中1张诅咒卡，回复6点HP,丢弃手中1张诅咒卡，回复10点HP,—,否,否,初始通用
SC0036,军纪整顿,技能,1/1,将手牌中1张诅咒卡移除,将手牌中1张诅咒卡移除，并抽1张牌,—,否,否,初始通用
SC0037,战场清整,技能,2/2,将牌库中1张诅咒卡移除,将牌库中2张诅咒卡移除,—,否,否,初始通用
SC0038,勤学苦读,技能,1/0,行动点上限+1,行动点上限+1,—,是,是,初始通用
SC0039,养精蓄锐,技能,1/1,跳过本回合剩余行动；下回合开始时行动点+1,跳过本回合剩余行动；下回合开始时行动点+2,—,否,否,初始通用
SC0040,因地制宜,技能,1/1,若当前地形为关隘，获得10点护盾；若当前地形为山地或森林，抽1张牌；其他地形：行动点+1,若当前地形为关隘，获得14点护盾；若当前地形为山地或森林，抽2张牌；其他地形：行动点+1,—,是,是,初始通用
SC0041,风雨同舟,技能,1/1,若当前天气为雨，获得8点护盾；若当前天气为风，本回合远程攻击卡伤害+3；其他天气：抽1张牌,若当前天气为雨，获得12点护盾；若当前天气为风，本回合远程攻击卡伤害+4；其他天气：抽1张牌,—,是,是,初始通用
SC0042,顺水推舟,技能,1/1,若当前天气为雨，本回合下一张兵种卡费用-1；若当前天气为风，本回合下一张攻击卡伤害+3,若当前天气为雨，本回合所有兵种卡费用-1；若当前天气为风，本回合下一张攻击卡伤害+5,—,是,是,初始通用
SC0043,呼风唤雨,技能,2/2,将当前天气变为雨，持续3回合,将当前天气变为雨，持续5回合,—,否,否,初始通用
SC0044,烽火传信,技能,1/1,从牌库顶检视2张牌，选1张到手牌，另1张放回顶部,从牌库顶检视3张牌，选2张到手牌，其余放回顶部,—,否,否,初始通用
SC0045,据险而守,技能,2/2,获得10点护盾；若当前地形为关隘，额外获得10点护盾,获得12点护盾；若当前地形为关隘，额外获得13点护盾,—,是,否,初始通用
SC0046,围城,技能,2/2,对所有敌将施加3层虚弱,对所有敌将施加4层虚弱,—,否,否,初始通用
SC0047,列阵,技能,1/1,本回合打出的兵种卡费用-1,本回合打出的兵种卡费用-1,—,是,否,初始通用
SC0048,骑兵冲锋令,技能,1/1,本回合打出的骑兵卡伤害+3且必定暴击,本回合打出的骑兵卡伤害+5且必定暴击,—,是,是,初始通用
SC0049,步兵压阵令,技能,1/1,本回合打出的步兵卡获得额外护盾效果+4,本回合打出的步兵卡获得额外护盾效果+6,—,是,是,初始通用
SC0050,弓兵急袭令,技能,1/1,本回合打出的弓兵卡施加的所有负面层数+1,本回合打出的弓兵卡施加的所有负面层数+2,—,是,是,初始通用
SC0051,谋士献策令,技能,1/1,本回合打出的谋士卡费用-1,本回合打出的谋士卡费用-1,—,是,否,初始通用
SC0052,盾兵拒守令,技能,1/1,本回合打出的盾兵卡护盾值翻倍,本回合打出的盾兵卡额外触发一次护盾效果,—,是,是,初始通用
SC0053,一鼓作气,技能,1/1,本回合所有攻击卡伤害+2,本回合所有攻击卡伤害+3,—,是,是,初始通用
SC0054,乘风破浪,技能,1/1,若当前天气为风，本回合所有攻击卡伤害+3,若当前天气为风，本回合所有攻击卡伤害+5,—,是,是,初始通用
SC0055,偷梁换柱,技能,1/1,与目标护盾互换,与目标护盾互换,—,是,否,初始通用
SC0056,坚壁清野,技能,2/2,获得8点护盾，若当前地形为关隘，对所有敌将施加1层破甲,获得12点护盾，若当前地形为关隘，对所有敌将施加1层破甲,—,是,否,初始通用
SC0057,隐入山林,技能,1/1,获得6点护盾，若当前地形为森林，获得6点护盾且本回合所有卡牌费用-1,获得8点护盾，若当前地形为森林，获得9点护盾且本回合所有卡牌费用-1,—,是,是,初始通用
SC0058,心战,技能,1/1,对目标施加1层虚弱,对目标施加2层虚弱,—,否,否,初始通用
SC0059,冲车破阵,技能,2/1,对目标造成8点伤害，若当前地形为关隘，先清空目标护甲,对目标造成8点伤害，若当前地形为关隘，先清空目标护甲,—,否,否,初始通用
SC0060,陷马坑,技能,1/1,对目标施加1层滑倒；若目标为骑兵，额外造成5点伤害,对目标施加2层滑倒；若目标为骑兵，额外造成7点伤害,—,否,否,初始通用
SC0061,疫雾,技能,1/1,对目标施加2层瘟疫；若当前地形为森林，层数+1,对目标施加2层瘟疫；若当前地形为森林，层数+2,—,是,否,初始通用
SC0062,背水列阵,技能,2/2,获得10点护盾，若我方HP低于50%，额外获得10点护盾,获得12点护盾，若我方HP低于50%，额外获得12点护盾,—,是,否,初始通用
SC0063,连环负咒,技能,0/0,若目标已有负面状态，对其造成7点伤害且无视护甲,若目标已有负面状态，对其造成9点伤害且无视护甲,—,否,否,初始通用
SC0064,忍辱反击,技能,1/1,若本回合已抽到过诅咒卡，本回合下一次攻击造成额外6点伤害,若本回合已抽到过诅咒卡，本回合下一次攻击造成额外9点伤害,—,否,否,初始通用
SC0065,借势用险,技能,1/1,移除手中1张诅咒卡，抽2张牌,移除手中1张诅咒卡，抽3张牌,—,否,否,初始通用
SC0066,负重前行,技能,2/2,若手牌中持有1张以上诅咒卡，每持有1张获得6点护盾（上限12点）,若手牌中持有1张以上诅咒卡，每持有1张获得8点护盾（上限16点）,—,否,否,初始通用
SC0067,战地焚卷,技能,1/1,将牌库中1张诅咒卡移除,将牌库中1张诅咒卡移除；从牌库顶检视2张牌，选1张加入手牌，另1张放回顶部,—,否,否,初始通用
SC0068,疗养令,技能,2/2,将1张诅咒卡移除，并回复5点HP,将1张诅咒卡移除，并回复8点HP,—,否,否,初始通用
SC0069,焚香静气,技能,2/2,本回合免疫新诅咒卡加入手牌,本回合及下回合均免疫新诅咒卡加入手牌,—,是,是,初始通用
SC0070,破局,技能,3/3,造成5点伤害；手牌中每有1张诅咒卡额外+5点,造成7点伤害；手牌中每有1张诅咒卡额外+5点,—,否,否,初始通用
SC0071,旧债清算,技能,2/2,对目标造成伤害=本局已移除的诅咒卡数量×5点（最低5点）,对目标造成伤害=本局已移除的诅咒卡数量×7点（最低7点），无视护甲,—,否,否,初始通用
SC0072,先声夺人,技能,0/0,对目标造成5点伤害，若是本回合第一张打出的牌，伤害+5,对目标造成5点伤害，若是本回合第一张打出的牌，伤害+5,—,是,否,初始通用
SC0073,有借有还,技能,1/1,抽1张牌；若手牌数超过5张，将1张手牌放回牌库底,抽2张牌；若手牌数超过5张，将1张手牌放回牌库底,—,否,否,初始通用
SC0074,指挥若定,技能,1/1,本回合使用的下一张卡费用-1,本回合使用的下两张卡各费用-1,—,是,是,初始通用
SC0075,反客为主,技能,2/2,清除目标负面状态并对其造成等层数×3点伤害,清除目标负面状态并对其造成等层数×4点伤害,—,否,否,初始通用
SC0076,连环计,技能,1/1,对目标施加1层眩晕,对目标施加2层眩晕,—,否,否,初始通用
SC0077,声势浩大,技能,1/1,对所有敌将施加1层恐惧；若场上有2名以上敌将，此效果+1层,对所有敌将施加2层恐惧；若场上有2名以上敌将，此效果+1层,—,否,否,初始通用
SC0078,里应外合,技能,1/1,若本回合已打出近战攻击卡，下一张远程攻击卡伤害+5且无视护甲,若本回合已打出近战攻击卡，下一张远程攻击卡伤害+7且无视护甲,—,是,是,初始通用
SC0079,万全之策,技能,2/2,获得8点护盾并抽1张牌,获得12点护盾并抽1张牌,—,否,否,初始通用
SC0080,云梯登城,技能,2/2,对目标造成6点伤害，若当前地形为关隘，伤害+6,对目标造成8点伤害，若当前地形为关隘，伤害+8,—,否,否,初始通用
SC0081,鱼鳞甲,技能,2/2,获得6点护盾；本回合使用一张卡，护盾额外+2,获得8点护盾；本回合使用一张卡，护盾额外+3,—,否,否,初始通用
SC0082,铍刺,技能,1/1,对目标连续2次各造成3点伤害,对目标连续2次各造成4点伤害,—,是,是,初始通用
SC0083,发石车,技能,3/3,对敌方所有目标各造成10点伤害,对敌方所有目标各造成10点伤害，并各施加2层破甲,—,否,否,初始通用
SC0084,轒辒车,技能,2/2,获得10点护盾，若当前地形为关隘，免疫一次位移效果,获得12点护盾，若当前地形为关隘，免疫一次位移效果,—,否,否,初始通用
SC0085,井栏,技能,2/2,对所有敌将各造成5点伤害，若当前地形为山地或关隘，伤害+3,对所有敌将各造成7点伤害，若当前地形为山地或关隘，伤害+3,—,是,是,初始通用
SC0086,壕沟,技能,2/1,对目标施加1层混乱；若当前地形为关隘，混乱层数+1,对目标施加1层混乱；若当前地形为关隘，混乱层数+1,—,是,是,初始通用
SC0087,鹿砦设阵,技能,2/1,对所有敌将施加1层滑倒；若目标为骑兵，滑倒层数+1,对所有敌将施加1层滑倒；若目标为骑兵，滑倒层数+1,—,是,是,初始通用
SC0088,壕底暗桩,技能,1/1,对目标造成5点伤害，并施加2层流血；若当前地形为关隘，伤害+3,对目标造成6点伤害，并施加3层流血；若当前地形为关隘，伤害+4,—,否,否,初始通用
